id	ten	gia	review_count	phanloai	thuonghieu	sku	mota	url_image
14119607	Ga giường khách sạn 5 sao	850000	9	Nhà Cửa - Đời Sống/Đồ dùng phòng ngủ/Bộ ga, ra, drap	Dada	2353025876135		https://salt.tikicdn.com/cache/280x280/ts/product/ea/68/05/645896e8957a747b2c0ef2eb6e6f3cbc.jpg
54022832	 Thang nhôm rút gọn SUMIKA SK380 - Chiều cao tối đa 3.8m, chiều dài rút gọn 0.81m, hợp kim nhôm cao cấp, khóa chốt chắc chắn, đế cao su chống trượt, nhỏ gọn, di chuyển tiện lợi - Hàng chính hãng	1350000	176	Nhà Cửa - Đời Sống/Sửa chữa nhà cửa/Thang nhôm	Sumika	4601570056020		https://salt.tikicdn.com/cache/280x280/ts/product/e1/f0/b7/984f773dce908d9a7b7a9312ffaec5a1.jpg
11488920	Bình Giữ Nhiệt Lock&Lock RigaTumbler (897ml)	325000	144	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	6235877269401		https://salt.tikicdn.com/cache/280x280/ts/product/80/89/47/110b32417427cc8175a7cabf493b5ef4.png
83412126	Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML	252000	61	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt & Phụ kiện/Bình giữ nhiệt	Lock&Lock	2186358773080		https://salt.tikicdn.com/cache/280x280/ts/product/32/4b/91/5aad7a61e319feb2c1280800d98683fd.png
38245956	Giấy ăn gấu trúc siêu dai, an toàn khi sử dụng, giấy ăn sợi tre an toàn không chất tẩy trắng (Thùng 30 gói)	145000	5	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Phụ kiện nhà bếp/Phụ kiện nhà bếp khác	OEM	8851708894260		https://salt.tikicdn.com/cache/280x280/ts/product/b7/e3/98/62fc566ffd317881bf8cfcd2717ab2ef.jpg
68892750	Thang nhôm xếp chữ A SUMIKA SKD504 - Chữ A cao 1.2m, chữ I cao 2.4m, tải trọng 150kg	620000	21	Nhà Cửa - Đời Sống/Sửa chữa nhà cửa/Thang nhôm	Sumika	4553865040811		https://salt.tikicdn.com/cache/280x280/ts/product/df/af/65/5d9179461fe36920cf9bd3ea2574ea2b.jpg
1726599	Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&Lock Vacuum Bottle LHC6180FU (800ML) - Xanh Đậm	300000	298	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	3552343680182		https://salt.tikicdn.com/cache/280x280/ts/product/d6/80/97/6c1a27dba9a5fd489bdc1938a029480a.png
66621525	Bình Giữ Nhiệt Lock&Lock Two-Tone Clip Tumbler LHC4151 540ml	252000	93	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	4346411826959		https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/0a/a7/68/6acff169f55bc33531b5756be6d1ff7d.jpg
50420044	Sen Đá Ruby Đỏ - 7x7x15 Cm - Cây Mini Để Bàn & Chậu Gốm Sứ Bát Tràng Trồng Cây Sen Đá, Xương Rồng, Tiểu cảnh Terrarium - Dáng Trôn Ốc	1000	122	Nhà Cửa - Đời Sống/Ngoài trời & sân vườn/Hoa tươi, Cây cảnh & Hạt giống/Cây cảnh	OEM	9047166332010		https://salt.tikicdn.com/cache/280x280/ts/product/68/84/18/094420011b18fdc3129d6adec5a05bcb.jpg
52631948	Thùng đựng đồ đa năng Hàn Quốc 26L	102000	39	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Dụng cụ chứa đựng thực phẩm/Khác	Oliving	2399657731558		https://salt.tikicdn.com/cache/280x280/ts/product/78/79/a4/a049b667915e1323f5f7ccf7e69a1d91.jpg
